 Área ; Aspecto/Subseção ; Fator ; Descrição 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Álcool ; Substância que tem como princípio ativo o etanol e que tem propriedades sedativas e hipnóticas, podendo, portanto, ser tóxica. Bastante utilizada na fabricação de bebidas. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Ansiedade ;" Estado em que a pessoa se apresenta angustiada por medo do inesperado; nervoso. "
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Desorientação ; Estado em que a pessoa perde todos os referenciais dos órgãos do equilíbrio (visão, proprioceptivo e sistema vestibular). 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Dieta inadequada ; Alimentação em horários irregulares e/ou sem um equilíbrio entre os grupos de alimentos (carboidratos, lipídios e proteínas). 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Disbarismo ; Estado patológico em nível orgânico, provocado pelas variações de pressão na atmosfera e sua relação de equalização com as variações de pressão das cavidades orgânicas. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Dor ; Estado de sofrimento físico proveniente de doença e/ou ferimento. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Enfermidade ;" Doença, moléstia; que muitas vezes incapacita o indivíduo ao trabalho. "
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Enjoo aéreo ; É uma resposta fisiológica (normal) a uma situação interpretada pelo cérebro como hostil, causada pelo movimento (real ou aparente), conhecido como aerocinetose. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Fadiga ; É a resultante final de estímulos estressantes, de natureza variada, que levam, por seu acúmulo ou intensidade, à queda progressiva e/ou abrupta da qualidade de trabalho. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Gravidez ; Estado fisiológico do processo de procriação. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Hiperventilação ; É uma patologia que, frequentemente, ocorre em voo e se caracteriza por uma ventilação acima do normal, fazendo com que haja um desequilíbrio nas proporções de gás carbônico no organismo. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Hipóxia ;" Redução do oxigênio oferecido aos tecidos pelo sangue (hipo=baixo; oxia=oxigenação). "
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Ilusões visuais ; Impressões sensoriais falsas e/ou mal interpretadas. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Inconsciência ; Distúrbio no estado de alerta, no qual existe uma incapacidade de reconhecer e reagir perante estímulos externos Trata-se da perda da relação psicofisiológica com o meio. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Insônia ; Ausência de sono, dificuldade para dormir. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Intoxicação alimentar ; Ingestão de alimentos contaminados. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Intoxicação por CO ; Inalação excessiva desse gás provocando danos à saúde do indivíduo. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Uso de Medicamento ; Substância natural ou não utilizada para aliviar a dor. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Obesidade ; Estado mórbido em que o índice de massa corporal (IMC) excede a 30. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Próteses ; Substituição de uma parte do corpo ou órgão por um aparelho artificial. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Ressaca ; Conjunto de sintomas de mal-estar provocado pela ingestão anterior de bebidas alcoólicas, após o período de embriaguez, ou na ausência dele. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Sobrecarga de tarefas ; Acúmulo de tarefas dada a um indivíduo de forma a ultrapassar sua capacidade em administrá-las. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Uso ilícito de drogas ; Utilização de forma ilegal de substâncias controladas. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO MÉDICO ; Vertigem ; Sintoma de perda da noção de equilíbrio que poderá evoluir ou não, provocando tonteira ou perda da consciência. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ERGONOMIA ; Condições físicas do trabalho ; Condições de conforto ambiental proporcionadas pelo ambiente físico (iluminação, ventilação, temperatura, umidade do ar, pressão sonora e atmosférica, vibração), posto de trabalho (mobiliário, arranjo, dimensão, etc.) que possam estar interferindo no desempenho. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ERGONOMIA ; Equipamento - características ergonômicas ; Avaliação da relação homem-máquina e sua influência no desempenho da atividade, no que se refere à utilização de ferramentas e à operação de máquinas e equipamentos. Observa-se, dessa forma, a compatibilidade entre as características e necessidades humanas e/o equipamento operado visando à execução segura. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ERGONOMIA ; Vestimenta inadequada ; Indumentária inadequada para o desempenho da tarefa de trabalho proposta. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Atenção ; Rebaixamento no processo de ativação de uma quantidade limitada de informação a partir das demais disponíveis no meio. Redução da possibilidade de uma resposta rápida e precisa aos estímulos, que gera como consequência a desatenção, fixação, distração, prejuízo na atenção dividida, disfunção no sistema de alerta, prejuízo na atenção seletiva, lapsos associados a processos automáticos, cegueira a mudança. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Atitude ; Ações ou omissões, por parte do profissional, que refletem dificuldades na sua forma de pensar, sentir e reagir em seu meio, levando a posturas inadequadas como autoritarismo, complacência, excesso de confiança, exibicionismo, impulsividade, improvisação, inobservância com operações e procedimentos, passividade ou oposicionismo. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Características da tarefa ; Dissonância entre o trabalho prescrito (objetivos e requisitos determinados e meios de execução oferecidos pela organização) e o trabalho real (como ele é executado), no qual o conteúdo e/ou a complexidade da tarefa extrapolam a capacidade individual para atender as exigências, especificidades e determinantes da situação de trabalho. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Clima organizacional ; Relaciona-se a sentimentos de desmotivação, insegurança e percepções de insatisfação encontrados na organização. Inclui desinteresse, apatia e, em alguns casos, comprometimento da saúde física e mental. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Comunicação ; Dificuldades para a organização e expressão de uma ideia ou fato, de forma racional e coerente. Envolve a apresentação confusa da informação ou a falta dela, baixa assertividade, limitação da capacidade do receptor em compreender a informação, julgamentos de valor, erros de interpretação, excesso de informações ou credibilidade da fonte questionável. Não inclui a fraseologia da tripulação nem a fraseologia com órgão ATS. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Cultura do grupo de trabalho ; Crenças, valores, práticas e regras informais de grupos profissionais que levam a ações ou omissões incompatíveis com a segurança de voo. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Cultura organizacional ; Percepções coletivas que refletem valores centrais equivocados ou baixa adesão aos princípios de segurança de voo. Envolve regras informais, institucionalizadas informalmente, que fragilizam ou apontam a ausência de uma cultura de segurança. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Dinâmica da equipe ; Inadequação na interação e colaboração mútua dos membros da equipe. Implica conflito de papéis, ineficiência no gerenciamento das tarefas e falhas na integração da equipe, bem como prejuízos na relação líderes x subordinados (ausência de apoio da chefia, pressão do líder, liderança autocrática ou laissez-faire). Não inclui a coordenação de cabine. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Estado emocional ; Influência exercida pelos estados emocionais interiores que afetam negativamente o desempenho no trabalho, tais como ansiedade, medo, pânico, fobia, irritabilidade, apatia, bloqueio, tensão e estresse. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Capacitação e Treinamento ; Ineficiência dos processos sistematizados que visam ao aprimoramento de conhecimento, habilidades e atitudes. Acarreta desempenho inadequado e rendimento insuficiente no contexto de operação. 
 ÁREA DE INVESTIGAÇÃO DOS FATORES HUMANOS ; ASPECTO PSICOLÓGICO ; Influências externas ; Acontecimentos na vida pessoal que influenciam negativamente o desempenho no trabalho, tais como mudanças no estilo de vida, pressão familiar, problemas financeiros, entre outros. 
